adresse;gatenummer;id;sted
Main St;123;1;CityA
Oak St;456;2;CityB
Maple St;789;3;CityC
Elm St;101;4;CityD
Cedar St;121;5;CityE
Pine St;141;6;CityF
Spruce St;161;7;CityG
Birch St;181;8;CityH
Cherry St;201;9;CityI
Willow St;221;10;CityJ
Pine St;567;11;CityK
Cedar St;876;12;CityL
Maple St;765;13;CityM
Oak St;654;14;CityN
Main St;543;15;CityO
Spruce St;432;16;CityP
Elm St;321;17;CityQ
Cherry St;210;18;CityR
Birch St;109;19;CityS
Pine St;876;20;CityT
Cedar St;765;21;CityU
Maple St;654;22;CityV
Oak St;543;23;CityW
Main St;432;24;CityX
Spruce St;321;25;CityY
Elm St;210;26;CityZ
Cherry St;109;27;CityAA
Birch St;987;28;CityAB
Pine St;876;29;CityAC
Cedar St;765;30;CityAD
Maple St;654;31;CityAE
Oak St;543;32;CityAF
Main St;432;33;CityAG
Spruce St;321;34;CityAH
Elm St;210;35;CityAI
Cherry St;109;36;CityAJ
Birch St;987;37;CityAK
Pine St;876;38;CityAL
Cedar St;765;39;CityAM
Maple St;654;40;CityAN
Oak St;543;41;CityAO
Main St;432;42;CityAP
Spruce St;321;43;CityAQ
Elm St;210;44;CityAR
Cherry St;109;45;CityAS
Birch St;987;46;CityAT
Pine St;876;47;CityAU
Cedar St;765;48;CityAV
Maple St;654;49;CityAW
Oak St;543;50;CityAX
Main St;432;51;CityAY
Spruce St;321;52;CityAZ
Elm St;210;53;CityBA
Cherry St;109;54;CityBB
Birch St;987;55;CityBC
Pine St;876;56;CityBD
Cedar St;765;57;CityBE
Maple St;654;58;CityBF
Oak St;543;59;CityBG
Main St;432;60;CityBH
Spruce St;321;61;CityBI
Elm St;210;62;CityBJ
Cherry St;109;63;CityBK
Birch St;987;64;CityBL
Pine St;876;65;CityBM
Cedar St;765;66;CityBN
Maple St;654;67;CityBO
Oak St;543;68;CityBP
Main St;432;69;CityBQ
Spruce St;321;70;CityBR
Elm St;210;71;CityBS
Cherry St;109;72;CityBT
Birch St;987;73;CityBU
Pine St;876;74;CityBV
Cedar St;765;75;CityBW
Maple St;654;76;CityBX
Oak St;543;77;CityBY
Main St;432;78;CityBZ
Spruce St;321;79;CityCA
Elm St;210;80;CityCB
Cherry St;109;81;CityCC
Birch St;987;82;CityCD
Pine St;876;83;CityCE
Cedar St;765;84;CityCF
Maple St;654;85;CityCG
Oak St;543;86;CityCH
Main St;432;87;CityCI
