postnummer;sted
1234;CityA
5678;CityB
9101;CityC
1121;CityD
3141;CityE
5161;CityF
7181;CityG
9201;CityH
1221;CityI
3241;CityJ
7890;CityK
5432;CityL
2109;CityM
1098;CityN
987;CityO
9876;CityP
8765;CityQ
7654;CityR
6543;CityS
5432;CityT
4321;CityU
3210;CityV
2109;CityW
1098;CityX
987;CityY
9876;CityZ
8765;CityAA
7654;CityAB
5432;CityAC
4321;CityAD
3210;CityAE
2109;CityAF
1098;CityAG
987;CityAH
9876;CityAI
8765;CityAJ
7654;CityAK
5432;CityAL
4321;CityAM
3210;CityAN
2109;CityAO
1098;CityAP
987;CityAQ
9876;CityAR
8765;CityAS
7654;CityAT
5432;CityAU
4321;CityAV
3210;CityAW
2109;CityAX
1098;CityAY
987;CityAZ
9876;CityBA
8765;CityBB
7654;CityBC
5432;CityBD
4321;CityBE
3210;CityBF
2109;CityBG
1098;CityBH
987;CityBI
9876;CityBJ
8765;CityBK
7654;CityBL
5432;CityBM
4321;CityBN
3210;CityBO
2109;CityBP
1098;CityBQ
987;CityBR
9876;CityBS
8765;CityBT
7654;CityBU
5432;CityBV
4321;CityBW
3210;CityBX
2109;CityBY
1098;CityBZ
987;CityCA
9876;CityCB
8765;CityCC
7654;CityCD
5432;CityCE
4321;CityCF
3210;CityCG
2109;CityCH
1098;CityCI
